http
122.94
130.14
112.6
103.5
113.12
109.58
106.74
103.92
98.74
124.68
121.72
99.08
121.52
122.76
112.12
92.72
124.28
119.12
114.22
103.92
102.7
118.92
80.72
104.16
92.3
128.88
124.92
121.08
131.72
