tcp
0.78
0.78
0.8
0.8
0.84
0.98
0.76
0.84
0.74
0.78
0.78
0.88
0.76
0.78
0.76
1.02
0.76
1.06
0.74
0.76
0.82
0.78
0.76
0.8
0.78
0.8
0.94
0.74
0.8
0.78
0.78
0.86
0.78
0.92
0.88
0.78
0.82
0.8
0.76
0.76
0.86
0.78
0.9
0.9
0.8
0.88
0.9
0.78
0.76
0.78
0.76
0.76
0.74
1
0.8
0.8
0.78
0.76
1.2
0.76
0.86
0.8
0.76
0.78
0.8
0.74
0.84
0.82
2.36
0.76
0.76
0.76
